Time,Lon,Lat
11:10:00,-11.96121788,-1.241594195
11:20:00,15.94579029,-29.06887627
11:30:00,37.22275162,-42.37067795
11:40:00,45.27743912,-38.68749619
11:50:00,31.21282196,-19.1722393
12:00:00,-3.614937067,10.69578648
12:10:00,-39.00196075,34.30398178
12:20:00,-54.98385239,41.18694687
12:30:00,-49.93557358,31.13022423
12:40:00,-31.26760674,6.690642834
12:50:00,-5.851745605,-22.37463188
13:00:00,18.63841248,-40.17866135
13:10:00,35.53751755,-40.8333168
13:20:00,38.26836395,-25.58060646
13:30:00,20.82367516,2.546439171
13:40:00,-11.36469555,29.14061165
13:50:00,-39.74364471,40.65221024
14:00:00,-50.14917374,35.02494812
14:10:00,-42.90602875,14.1000576
14:20:00,-24.2779007,-14.96824169
14:30:00,-0.833491385,-36.81826019
14:40:00,20.27418327,-41.89903641
14:50:00,32.94161224,-30.92473793
15:00:00,31.16675758,-5.557322979
15:10:00,11.84992599,22.96260262
15:20:00,-17.05429459,38.96088409
15:30:00,-39.36852646,37.80799484
15:40:00,-45.33668518,20.77213097
15:50:00,-36.40622711,-7.159441471
16:00:00,-18.14410973,-32.27271271
16:10:00,3.151899338,-41.88456345
16:20:00,20.95035172,-35.15608597
16:30:00,29.6477623,-13.27211094
16:40:00,24.24910927,15.93448257
16:50:00,4.269347191,36.09268951
17:00:00,-21.05154037,39.46592712
17:10:00,-38.16246796,26.54536247
17:20:00,-40.59739685,0.723868847
17:30:00,-30.45198441,-26.60595322
17:40:00,-12.86572742,-40.76056671
17:50:00,6.182222843,-38.27054977
18:00:00,20.78094864,-20.29940414
18:10:00,25.86837196,8.299750328
18:20:00,17.7233429,32.049263
18:30:00,-1.983096957,39.98416519
18:40:00,-23.66558075,31.31109619
18:50:00,-36.35142136,8.371480942
19:00:00,-35.99103546,-19.98600388
19:10:00,-25.06166267,-38.47818756
19:20:00,-8.415333748,-40.28242493
19:30:00,8.342903137,-26.42142868
19:40:00,19.89165115,0.370920002
19:50:00,21.8033371,26.87628555
20:00:00,11.73812389,39.34212494
20:10:00,-7.003582001,35.00486755
20:20:00,-25.16077042,15.51151943
20:30:00,-34.11707687,-12.67502117
20:40:00,-31.57661438,-34.99541092
20:50:00,-20.24707222,-41.20186996
21:00:00,-4.749669552,-31.50823402
21:10:00,9.723071098,-7.498634338
21:20:00,18.41468048,20.68344116
21:30:00,17.63249016,37.51626968
21:40:00,6.389806747,37.5912056
21:50:00,-10.90921116,21.92223358
22:00:00,-25.76358223,-4.991621017
22:10:00,-31.60689163,-30.31671524
22:20:00,-27.40695953,-41.01905441
22:30:00,-16.01012611,-35.50151825
22:40:00,-1.816041708,-14.96035385
22:50:00,10.41462135,13.6570549
23:00:00,16.48402214,34.49173737
23:10:00,13.51038551,39.04769135
23:20:00,1.729364276,27.43815613
23:30:00,-13.82861423,2.733241558
23:40:00,-25.66722488,-24.53185654
23:50:00,-28.94109344,-39.69981003
